# Formed by reprocess_s8_optical_parameters.py, from digitizing Figure S1 of Tian+2010
# wav(microns)	N_r	N_i
3.0900000e-01	2.1963760e+00	5.2095315e-01
3.1000000e-01	2.1944440e+00	4.8309685e-01
3.1100000e-01	2.1925057e+00	4.4685012e-01
3.1200000e-01	2.1905469e+00	4.1291023e-01
3.1300000e-01	2.1885881e+00	3.8124328e-01
3.1400000e-01	2.1866292e+00	3.5224649e-01
3.1500000e-01	2.1845008e+00	3.3018726e-01
3.1600000e-01	2.1821619e+00	3.1370016e-01
3.1700000e-01	2.1798229e+00	2.9744333e-01
3.1800000e-01	2.1774220e+00	2.8129852e-01
3.1900000e-01	2.1749606e+00	2.6668697e-01
3.2000000e-01	2.1724993e+00	2.5297528e-01
3.2100000e-01	2.1703905e+00	2.4182811e-01
3.2200000e-01	2.1686494e+00	2.3134548e-01
3.2300000e-01	2.1669084e+00	2.2094788e-01
3.2400000e-01	2.1651673e+00	2.1058569e-01
3.2500000e-01	2.1635443e+00	1.9868741e-01
3.2600000e-01	2.1619722e+00	1.8635144e-01
3.2700000e-01	2.1604000e+00	1.7466227e-01
3.2800000e-01	2.1588279e+00	1.6356183e-01
3.2900000e-01	2.1571170e+00	1.5661592e-01
3.3000000e-01	2.1553397e+00	1.4967919e-01
3.3100000e-01	2.1535623e+00	1.4295918e-01
3.3200000e-01	2.1517850e+00	1.3625388e-01
3.3300000e-01	2.1495288e+00	1.2986746e-01
3.3400000e-01	2.1471587e+00	1.2352291e-01
3.3500000e-01	2.1447932e+00	1.1801754e-01
3.3600000e-01	2.1426254e+00	1.1272878e-01
3.3700000e-01	2.1404577e+00	1.0806444e-01
3.3800000e-01	2.1382900e+00	1.0335795e-01
3.3900000e-01	2.1363283e+00	9.8474407e-02
3.4000000e-01	2.1344028e+00	9.3665621e-02
3.4100000e-01	2.1324773e+00	8.9124008e-02
3.4200000e-01	2.1305671e+00	8.4888314e-02
3.4300000e-01	2.1287535e+00	8.0961668e-02
3.4400000e-01	2.1269398e+00	7.6505412e-02
3.4500000e-01	2.1251262e+00	7.1353041e-02
3.4600000e-01	2.1232840e+00	6.6727449e-02
3.4700000e-01	2.1213881e+00	6.2532968e-02
3.4800000e-01	2.1194922e+00	5.9094469e-02
3.4900000e-01	2.1175963e+00	5.6390466e-02
3.5000000e-01	2.1159430e+00	5.3785684e-02
3.5100000e-01	2.1143273e+00	5.1318548e-02
3.5200000e-01	2.1127116e+00	4.8816594e-02
3.5300000e-01	2.1110959e+00	4.6291998e-02
3.5400000e-01	2.1092980e+00	4.4213496e-02
3.5500000e-01	2.1073839e+00	4.2304982e-02
3.5600000e-01	2.1054697e+00	4.0403078e-02
3.5700000e-01	2.1035556e+00	3.8503650e-02
3.5800000e-01	2.1018285e+00	3.6665505e-02
3.5900000e-01	2.1002326e+00	3.4838531e-02
3.6000000e-01	2.0986368e+00	3.3359961e-02
3.6100000e-01	2.0970409e+00	3.1932445e-02
3.6200000e-01	2.0952726e+00	3.0370293e-02
3.6300000e-01	2.0934604e+00	2.8806846e-02
3.6400000e-01	2.0916482e+00	2.7266647e-02
3.6500000e-01	2.0898359e+00	2.5725950e-02
3.6600000e-01	2.0881140e+00	2.4069392e-02
3.6700000e-01	2.0864078e+00	2.2433513e-02
3.6800000e-01	2.0847016e+00	2.1224512e-02
3.6900000e-01	2.0829954e+00	2.0070223e-02
3.7000000e-01	2.0815152e+00	1.9194286e-02
3.7100000e-01	2.0800388e+00	1.8311929e-02
